Spanish;Polish
como;jak
I;ja
su;jego
él;on
en;w
son;dźwięk
con;z
ellos;oni
ser;być
tener;mieć
este;ten
por;przez
caliente;gorący
palabra;słowo
pero;oprócz
qué;co
algunos;trochę
lo;ten
usted;ty
o;lub
tenido;miał
la;ten
de;z
a;a
y;i
en;w
nos;nam
lata;lata
fuera;na zewnątrz
hacer;robić
su;jego
tiempo;godzina
decir;powiedzieć
conjunto;grupa
tres;trzy
aire;powietrze
así;jak to
pequeño;mały
fin;koniec
casa;dom
leer;czytać
puerto;port
grande;duży
deletrear;zaklęcie
añadir;dodawać
tierra;ziemia
por qué;dlaczego
preguntar;pytać
se fue;odejść
tipo;facet
necesitará;potrzeba
nosotros;my
animal;zwierzę
madre;matka
mundo;świat
cerca;blisko
auto;samochód
padre;ojciec
nuevo;nowy
trabajo;praca
parte;część
tomar;brać
conseguir;uzyskać
lugar;miejsce
hecho;fakt
vivir;mieszkać
donde;gdzie
sólo;tylko
buena;dobry
ayudar;pomoc
cómo;jak
cada;każdy
cambio;zmieniać
cualquier;jakikolwiek
era;ona
es;ono
poner;kłaść
hace;temu
desde;od
también;też
que;co
un;jeden
dicho;powodzenie
jugar;grać
querer;chcieć
mano;ręka
lo hará;będzie
incluso;nawet
que;co
luz;światło

